Gene	01CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	01CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	01CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	02CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	02CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	02CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	03CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	03CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	03CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	04CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	04CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	04CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	05CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	05CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	05CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	06CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	06CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	06CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	07CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	07CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	07CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	08CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	08CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	08CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	09CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	09CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	09CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	10CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	10CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	10CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	11CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	11CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	11CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	12CPTAC_OVprospective_Proteome_PNNL_20161212 Spectral Counts	12CPTAC_OVprospective_Proteome_PNNL_20161212 Distinct Peptides	12CPTAC_OVprospective_Proteome_PNNL_20161212 Unshared Peptides	Spectral Counts	Distinct Peptides	Unshared Peptides	NCBIGeneID	Authority	Description	Organism	Chromosome	Locus	Proteins	Assays
MAT1A	9	6	2	7	4	0	12	7	0	7	5	1	8	7	0	8	7	0	10	7	2	7	4	0	7	5	0	8	7	1	9	6	0	17	11	2	109	20	5	4143	HGNC:6903	methionine adenosyltransferase 1A	Homo sapiens	10	10q22.3	B1ANE6;NP_000420.1;Q00266;XP_005269899.1;XP_005269900.1	
MAT2A	46	21	17	35	19	15	60	29	22	55	23	19	46	25	18	48	24	17	51	23	18	60	25	21	53	25	20	56	26	20	59	26	20	61	30	21	630	44	29	4144	HGNC:6904	methionine adenosyltransferase 2A	Homo sapiens	2	2p11.2	NP_005902.1;P31153;P31153-2	CPTAC-234;CPTAC-235
MAT2B	31	19	19	32	19	19	41	25	25	44	22	22	41	24	24	31	20	20	40	23	23	39	21	21	47	21	21	33	19	19	35	20	20	53	24	24	467	38	38	27430	HGNC:6905	methionine adenosyltransferase 2B	Homo sapiens	5	5q34	E5RJR3;H7C0X7;NP_037415.1;NP_877725.1;Q9NZL9;Q9NZL9-2;Q9NZL9-3;Q9NZL9-4;Q9NZL9-5	
MATN2	21	18	17	14	13	12	24	18	18	22	16	15	32	25	24	44	30	29	37	26	25	34	24	23	23	16	16	51	31	29	27	21	19	29	23	23	358	47	45	4147	HGNC:6908	matrilin 2	Homo sapiens	8	8q22.1-q22.2	E5RJM4;H0YBD5;H0YBF2;H0YBJ4;H0YBM3;H0YBN2;H0YBU5;H0YBV5;NP_001304677.1;NP_002371.3;NP_085072.2;O00339;O00339-2;O00339-3;O00339-4;XP_005250977.1;XP_016868906.1;XP_016868907.1	
MATR3	124	59	59	98	52	52	160	78	78	145	68	68	133	62	62	151	71	71	166	71	71	155	64	64	170	69	69	155	77	77	175	72	72	198	83	83	1830	118	118	9782	HGNC:6912	matrin 3	Homo sapiens	5	5q31.2	A0A0R4J2E8;A0A1B0GX04;A8MXP9;B3KM87;D6R8Z5;D6R991;D6R9F3;D6RAM9;D6RAY2;D6RB45;D6RBI2;D6RBK5;D6RBS2;D6RCM3;D6RE02;D6REK4;D6REM6;D6RIA2;H0Y8T4;NP_001181883.1;NP_001181884.1;NP_001181885.1;NP_001269207.1;NP_061322.2;NP_954659.1;P43243;P43243-2;Q68E03	
MAU2	1	1	1	4	4	4	3	3	3	3	3	3	2	2	2	4	4	4	6	6	6	2	2	2	0	0	0	1	1	1	1	1	1	5	4	4	32	12	12	23383	HGNC:29140	MAU2 sister chromatid cohesion factor	Homo sapiens	19	19p13.11	NP_056144.3;Q9Y6X3;Q9Y6X3-2;Q9Y6X3-3;V9GYS3;V9GZ52;XP_005259894.2;XP_005259895.3;XP_006722774.2;XP_011526146.1;XP_016882028.1	
MAVS	21	17	17	24	18	18	27	16	16	31	16	16	33	21	21	24	18	18	36	20	20	31	19	19	24	17	17	31	22	22	34	23	23	29	18	18	345	40	40	57506	HGNC:29233	mitochondrial antiviral signaling protein	Homo sapiens	20	20p13	NP_001193420.1;NP_065797.2;Q7Z434;Q7Z434-2;Q7Z434-3;Q7Z434-4;Q7Z434-5;Q7Z434-6	CPTAC-977
MAX	1	1	1	2	2	2	2	1	1	6	3	3	4	3	3	4	4	4	2	2	2	6	5	5	4	4	4	6	5	5	7	4	4	3	3	3	47	7	7	4149	HGNC:6913	MYC associated factor X	Homo sapiens	14	14q23.3	G3V2R5;G3V302;G3V563;G3V570;G3V5L1;NP_001257997.1;NP_001257998.1;NP_001307344.1;NP_002373.3;NP_660087.1;NP_660088.1;NP_660089.1;NP_932061.1;P61244;P61244-2;P61244-3;P61244-4;P61244-5;P61244-6;Q6V3B1;XP_011535075.1;XP_016876801.1;XP_016876802.1	
MAZ	7	4	1	5	4	3	7	5	5	13	10	8	10	9	6	4	4	4	5	4	1	3	3	2	6	4	3	4	4	3	6	4	3	7	7	7	77	22	18	4150	HGNC:6914	MYC associated zinc finger protein	Homo sapiens	16	16p11.2	A0A087WWR2;H3BPU3;H3BQI4;H3BQS2;H3BRC5;H3BTS8;I3L0M3;I3L2Z5;I3L411;I3L4D3;I3L4Y2;NP_001036004.1;NP_001263204.1;NP_001263205.1;NP_002374.2;P56270;P56270-2;P56270-3;P56270-4;XP_006721110.1;XP_006721111.1	
MB	16	12	12	17	9	9	13	11	11	19	8	8	18	8	8	17	9	8	13	9	8	14	10	9	24	10	10	452	47	46	19	8	8	25	10	9	647	50	49	4151	HGNC:6915	myoglobin	Homo sapiens	22	22q12.3	B0QYF7;B0QYF8;F2Z2F1;F2Z337;NP_005359.1;NP_976311.1;NP_976312.1;P02144;Q8WVH6;XP_005261662.1	
MB21D1	1	1	1	0	0	0	2	2	2	1	1	1	6	6	6	4	4	4	2	2	2	3	3	3	4	4	4	1	1	1	2	2	2	6	6	6	32	13	13	115004	HGNC:21367	Mab-21 domain containing 1	Homo sapiens	6	6q13	NP_612450.2;Q8N884;Q8N884-2;XP_016865721.1	
MB21D2	1	1	1	2	2	2	2	2	2	3	3	3	2	2	2	6	6	6	4	4	4	1	1	1	4	4	4	5	5	5	2	2	2	5	5	5	37	12	12	151963	HGNC:30438	Mab-21 domain containing 2	Homo sapiens	3	3q29	NP_848591.2;Q8IYB1	
MBD1	1	1	1	6	5	5	3	3	3	9	8	8	5	4	4	8	8	8	2	2	2	8	7	7	8	8	8	8	8	8	8	8	8	7	7	7	73	16	16	4152	HGNC:6916	methyl-CpG binding domain protein 1	Homo sapiens	18	18q21.1	A0A0A0MS90;K7EMA9;K7EN65;K7EPZ6;NP_001191065.1;NP_001191066.1;NP_001191067.1;NP_001191068.1;NP_001191069.1;NP_001191070.1;NP_001191071.1;NP_001191072.1;NP_001191080.1;NP_001310871.1;NP_001310876.1;NP_001310878.1;NP_001310879.1;NP_001310880.1;NP_001310881.1;NP_001310882.1;NP_001310883.1;NP_002375.1;NP_056669.2;NP_056670.2;NP_056671.2;NP_056723.2;Q9UIS9;Q9UIS9-10;Q9UIS9-11;Q9UIS9-12;Q9UIS9-2;Q9UIS9-4;Q9UIS9-5;Q9UIS9-6;Q9UIS9-7;Q9UIS9-8;Q9UIS9-9;XP_005258328.1;XP_006722519.1;XP_011524293.1;XP_011524295.1;XP_011524296.1;XP_011524300.1;XP_011524301.1;XP_011524303.1;XP_011524304.1;XP_011524305.1;XP_011524308.1;XP_011524309.1;XP_016881240.1;XP_016881241.1;XP_016881242.1;XP_016881243.1;XP_016881244.1;XP_016881245.1;XP_016881246.1;XP_016881247.1;XP_016881248.1;XP_016881249.1;XP_016881250.1;XP_016881251.1;XP_016881252.1;XP_016881253.1;XP_016881254.1;XP_016881255.1;XP_016881256.1;XP_016881257.1;XP_016881258.1;XP_016881259.1;XP_016881260.1;XP_016881261.1;XP_016881262.1;XP_016881263.1;XP_016881264.1;XP_016881265.1;XP_016881266.1	
MBD2	14	11	10	12	10	8	8	7	7	20	13	12	13	12	10	11	10	9	12	11	10	11	7	6	9	7	6	10	8	6	12	10	8	19	14	13	151	22	20	8932	HGNC:6917	methyl-CpG binding domain protein 2	Homo sapiens	18	18q21.2	J3KSA7;NP_003918.1;NP_056647.1;Q9UBB5;Q9UBB5-3;X6RBL6	
MBD3	8	7	6	7	6	4	7	7	7	7	7	6	15	13	11	13	10	9	8	6	5	11	10	9	13	10	9	10	9	7	13	11	9	13	12	11	125	19	17	53615	HGNC:6918	methyl-CpG binding domain protein 3	Homo sapiens	19	19p13.3	A0A087WT34;A0A087WZ12;A0A087X1H1;A0A0A0MTS6;K7EIE8;NP_001268382.1;NP_001268383.1;O95983;O95983-2	
MBD4	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	2	2	2	5	4	4	2	2	2	2	2	2	1	1	1	1	1	1	2	2	2	22	10	10	8930	HGNC:6919	methyl-CpG binding domain 4, DNA glycosylase	Homo sapiens	3	3q21.3	D6RBI7;NP_001263199.1;NP_001263200.1;NP_001263201.1;NP_001263202.1;NP_003916.1;O95243;O95243-2;O95243-3;O95243-5;O95243-6;XP_011511570.1	
MBIP	2	2	2	0	0	0	1	1	1	4	4	4	1	1	1	1	1	1	7	6	6	4	4	4	3	3	3	3	3	3	2	2	2	3	3	3	31	11	11	51562	HGNC:20427	MAP3K12 binding inhibitory protein 1	Homo sapiens	14	14q13.3	A0A087X1L0;NP_001138363.1;NP_001295039.1;NP_057670.2;Q9NS73;Q9NS73-2;Q9NS73-3;Q9NS73-5;S4R2X9;S4R3N2;S4R3P6;S4R3Y0;XP_005267811.1;XP_005267813.1;XP_016876856.1	
MBL2	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	3	3	3	2	2	2	1	1	1	2	2	2	4	4	4	1	1	1	1	1	1	17	8	8	4153	HGNC:6922	mannose binding lectin 2	Homo sapiens	10	10q21.1	NP_000233.1;P11226;XP_006717924.1;XP_011538118.1	
MBLAC1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	1	1	1	1	1	2	2	2	1	1	1	8	3	3	255374	HGNC:22180	metallo-beta-lactamase domain containing 1	Homo sapiens	7	7q22.1	A4D2B0;NP_981942.1;XP_005250307.1	
MBLAC2	0	0	0	2	2	2	1	1	1	2	2	2	3	3	3	4	3	3	4	3	3	4	4	4	1	1	1	1	1	1	1	1	1	4	4	4	27	8	8	153364	HGNC:33711	metallo-beta-lactamase domain containing 2	Homo sapiens	5	5q14.3	NP_981951.1;Q68D91;Q68D91-2	
MBNL1	24	12	6	32	12	4	24	13	5	23	11	4	27	11	5	30	15	8	31	11	4	38	17	9	36	13	6	31	13	6	35	16	8	34	18	9	365	24	12	4154	HGNC:6923	muscleblind like splicing regulator 1	Homo sapiens	3	3q25.1-q25.2	A0A0A0MQX8;C9J4T8;C9J7P7;C9JCX1;C9JP00;H7C4T5;H7C4Y1;NP_001300986.1;NP_066368.2;NP_997175.1;NP_997176.1;NP_997177.1;NP_997178.1;NP_997179.1;NP_997180.1;Q86VM6;Q9NR56;Q9NR56-2;Q9NR56-3;Q9NR56-4;Q9NR56-5;Q9NR56-6;Q9NR56-7;XP_005247514.1;XP_005247515.1;XP_005247517.1;XP_005247518.1;XP_005247519.1;XP_005247520.1;XP_005247521.1;XP_005247522.1;XP_005247523.1;XP_005247524.1;XP_005247525.1;XP_005247528.1;XP_005247531.1;XP_005247532.1;XP_005247533.1;XP_005247534.1;XP_006713702.1;XP_011511145.1;XP_011511147.1;XP_011511148.1;XP_011511149.1;XP_011511150.1;XP_011511151.1;XP_016861912.1;XP_016861913.1;XP_016861914.1;XP_016861915.1;XP_016861916.1;XP_016861917.1;XP_016861918.1;XP_016861919.1;XP_016861920.1;XP_016861921.1;XP_016861922.1;XP_016861923.1;XP_016861924.1;XP_016861925.1;XP_016861926.1;XP_016861927.1;XP_016861928.1;XP_016861929.1;XP_016861930.1;XP_016861931.1;XP_016861932.1	
MBNL2	12	6	1	26	10	3	12	8	1	18	10	4	15	7	2	13	7	1	21	8	2	21	10	3	29	8	2	21	9	3	19	9	2	16	10	2	223	16	5	10150	HGNC:16746	muscleblind like splicing regulator 2	Homo sapiens	13	13q32.1	NP_001292999.1;NP_659002.1;NP_997187.1;O95205;Q5JSC0;Q5VZF2;Q5VZF2-2;Q5VZF2-3;XP_005254075.1;XP_005254076.1;XP_005254078.1;XP_005254079.1;XP_006719975.1;XP_011519347.1;XP_016875797.1;XP_016875798.1;XP_016875799.1;XP_016875800.1	
MBNL3	7	4	0	9	5	1	8	4	0	10	6	2	10	4	1	8	3	0	13	4	0	11	5	0	14	6	2	12	5	1	11	6	1	11	6	0	124	9	3	55796	HGNC:20564	muscleblind like splicing regulator 3	Homo sapiens	X	Xq26.2	B1AKI2;B1AKI4;B1AKI5;B1AKI6;NP_001164172.1;NP_001164173.1;NP_001164174.1;NP_001164175.1;NP_060858.2;NP_597846.1;Q9NUK0;Q9NUK0-2;Q9NUK0-3;Q9NUK0-4;Q9NUK0-5;XP_005262488.1;XP_005262491.1;XP_005262493.1;XP_005262494.1;XP_005262495.1;XP_005262496.1;XP_005262497.1;XP_005262498.1;XP_005262499.1;XP_011529666.1;XP_016885121.1;XP_016885122.1;XP_016885123.1;XP_016885124.1;XP_016885125.1;XP_016885126.1;XP_016885127.1;XP_016885128.1	
MBOAT1	2	1	1	3	2	2	0	0	0	7	4	4	0	0	0	3	3	3	1	1	1	1	1	1	14	6	6	4	4	4	4	3	3	4	4	4	43	7	7	154141	HGNC:21579	membrane bound O-acyltransferase domain containing 1	Homo sapiens	6	6p22.3	NP_001073949.1;Q6ZNC8;Q6ZNC8-2;Q6ZNC8-3;XP_006715062.1;XP_006715063.1;XP_011512615.1	
MBOAT2	1	1	1	0	0	0	0	0	0	0	0	0	2	2	2	5	5	5	1	1	1	1	1	1	1	1	1	5	5	5	2	2	2	6	5	5	24	9	9	129642	HGNC:25193	membrane bound O-acyltransferase domain containing 2	Homo sapiens	2	2p25.1	C9J2H7;H7C5D1;NP_001308194.1;NP_001308195.1;NP_001308196.1;NP_620154.2;Q6ZWT7;XP_011508615.1;XP_011508616.1	
MBOAT7	21	14	14	16	11	11	16	11	11	24	12	12	23	14	14	18	11	11	24	14	14	15	10	10	30	13	13	30	14	14	25	11	11	24	11	11	266	19	19	79143	HGNC:15505	membrane bound O-acyltransferase domain containing 7	Homo sapiens	19	19q13.42	A0A0G2JNX6;A9C4B8;C9J4E9;F8WD95;H7C2M4;M0R1Z5;NP_001139528.1;NP_001139554.1;NP_001139555.1;NP_077274.3;Q96N66;Q96N66-2;Q96N66-3;XP_011525601.1;XP_011525602.1;XP_016882785.1	CPTAC-540;CPTAC-541
MBP	2	2	2	5	4	4	2	2	2	3	3	3	3	3	3	2	2	2	3	3	3	1	1	1	4	3	3	4	4	4	7	5	5	3	3	3	39	8	8	4155	HGNC:6925	myelin basic protein	Homo sapiens	18	18q23	A8MZH3;C9J6H1;E9PJ72;E9PKX9;E9PLQ9;E9PLU9;E9PMR5;E9PNZ1;E9PQE7;E9PSE2;F5H7N4;F8WEU6;H0YEA2;H0YF02;H7BYR8;J3KS94;J3KT01;J3KT34;J3QKL5;J3QKN5;J3QL64;J3QQK6;NP_001020252.1;NP_001020261.1;NP_001020263.1;NP_001020271.1;NP_001020272.1;NP_002376.1;P02686;P02686-2;P02686-3;P02686-4;P02686-5;P02686-6;XP_011524311.1;XP_016881267.1;XP_016881269.1	
MCAM	64	25	25	44	25	25	40	23	23	53	25	25	44	25	25	38	22	22	41	26	26	56	34	34	47	26	26	48	27	27	45	26	26	42	23	23	562	49	49	4162	HGNC:6934	melanoma cell adhesion molecule	Homo sapiens	11	11q23.3	NP_006491.2;P43121;P43121-2;XP_016873248.1;XP_016873249.1;XP_016873250.1;XP_016873251.1	
MCAT	12	8	8	9	7	7	11	10	10	13	10	10	12	10	10	3	3	3	16	12	12	18	12	12	14	10	10	6	6	6	13	10	10	15	11	11	142	21	21	27349	HGNC:29622	malonyl-CoA-acyl carrier protein transacylase	Homo sapiens	22	22q13.2	NP_055322.1;NP_775738.3;Q8IVS2;Q8IVS2-2;XP_011528458.1	
MCC	2	2	2	4	4	4	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	2	2	2	2	2	2	1	1	1	3	3	3	4	4	4	20	12	12	4163	HGNC:6935	mutated in colorectal cancers	Homo sapiens	5	5q22.2	A0A096LNU0;A0A096LPB3;D6REY2;NP_001078846.1;NP_002378.1;P23508;P23508-2;XP_005272048.1;XP_016864962.1;XP_016864963.1	
MCCC1	39	26	25	41	24	23	23	17	17	37	23	22	36	19	18	40	26	25	40	26	25	38	25	24	38	22	21	41	24	23	37	22	21	44	30	29	454	46	45	56922	HGNC:6936	methylcrotonoyl-CoA carboxylase 1	Homo sapiens	3	3q27.1	E9PG35;E9PHF7;F5GYT8;F8WDI3;G5E9X5;NP_001280202.1;NP_064551.3;Q96RQ3;XP_006713765.1;XP_011511294.1;XP_011511295.1;XP_016862363.1;XP_016862364.1	
MCCC2	62	31	31	69	30	30	53	33	33	70	35	35	44	23	23	68	34	34	81	37	37	66	33	33	53	27	27	63	30	30	72	37	37	94	39	39	795	67	67	64087	HGNC:6937	methylcrotonoyl-CoA carboxylase 2	Homo sapiens	5	5q13.2	A0A0G2JM88;D6R9R1;D6RD67;D6RDF7;NP_071415.1;Q9HCC0;Q9HCC0-2;XP_005248624.1;XP_011541831.1;XP_016865177.1	CPTAC-405;CPTAC-406
MCEE	6	4	4	6	4	4	7	4	4	7	5	5	9	5	5	6	5	5	7	5	5	8	7	7	8	5	5	10	8	8	7	6	6	5	5	5	86	11	11	84693	HGNC:16732	methylmalonyl-CoA epimerase	Homo sapiens	2	2p13.3	F5GZ54;H7BZS7;NP_115990.3;Q96PE7;XP_005264670.1	
MCFD2	8	4	4	6	5	5	9	5	5	11	6	6	16	8	8	12	6	6	16	7	7	12	6	6	13	6	6	9	4	4	9	5	5	15	5	5	136	9	9	90411	HGNC:18451	multiple coagulation factor deficiency 2	Homo sapiens	2	2p21	C9JTR4;H7BZ18;NP_001164977.1;NP_001164978.1;NP_001164979.1;NP_001164980.1;NP_001164981.1;NP_001164982.1;NP_644808.1;Q8NI22;Q8NI22-2;Q8NI22-3	
MCL1	3	3	3	3	3	3	2	2	2	5	4	3	3	2	2	3	2	2	3	3	2	3	3	3	0	0	0	4	4	3	4	4	3	4	3	2	37	11	10	4170	HGNC:6943	MCL1, BCL2 family apoptosis regulator	Homo sapiens	1	1q21.2	A0A087WT64;NP_001184249.1;NP_068779.1;NP_877495.1;Q07820;Q07820-2	
MCM2	42	29	29	37	26	26	45	32	32	58	37	37	65	37	37	69	37	37	62	38	38	57	37	37	74	40	40	33	27	27	55	34	34	102	47	47	699	64	64	4171	HGNC:6944	minichromosome maintenance complex component 2	Homo sapiens	3	3q21.3	C9J013;C9JZ21;F8WDM3;H0Y8E6;H7C4N9;NP_004517.2;P49736	
MCM3	44	28	27	53	35	34	50	33	32	59	40	39	94	46	45	79	45	44	70	38	37	85	44	43	93	47	46	52	35	34	69	41	40	115	54	53	863	67	66	4172	HGNC:6945	minichromosome maintenance complex component 3	Homo sapiens	6	6p12.2	J3KQ69;NP_001257401.1;NP_002379.3;P25205;P25205-2;Q7Z6P5	
MCM3AP	12	10	10	11	10	10	9	9	9	10	10	10	15	15	15	16	14	14	14	13	13	11	10	10	10	10	10	12	11	11	14	13	13	12	12	12	146	42	42	8888	HGNC:6946	minichromosome maintenance complex component 3 associated protein	Homo sapiens	21	21q22.3	NP_003897.2;O60318;O60318-2;XP_005261260.1;XP_005261261.1;XP_005261262.1	
MCM4	48	34	34	40	30	30	58	41	41	65	39	39	92	49	49	74	43	43	67	41	41	72	46	46	66	39	39	44	34	34	54	35	35	110	60	60	790	80	80	4173	HGNC:6947	minichromosome maintenance complex component 4	Homo sapiens	8	8q11.21	E5RFJ8;E5RFR3;E5RG31;E5RG53;NP_005905.2;NP_877423.1;P33991	
MCM5	44	31	30	31	24	23	48	30	29	51	34	33	77	41	40	74	43	42	51	34	33	68	40	39	60	37	36	39	29	28	62	41	40	97	55	53	702	66	64	4174	HGNC:6948	minichromosome maintenance complex component 5	Homo sapiens	22	22q12.3	B1AHA9;B1AHB1;B1AHB2;F8WFD7;NP_006730.2;P33992;XP_006724305.1	
MCM6	47	28	28	32	21	21	48	32	32	58	34	34	58	35	35	55	34	34	62	36	36	64	36	36	60	35	35	37	30	30	46	33	33	92	47	46	659	61	60	4175	HGNC:6949	minichromosome maintenance complex component 6	Homo sapiens	2	2q21.3	NP_005906.2;Q14566	
MCM7	35	26	26	31	24	24	41	33	33	48	32	32	71	39	39	68	37	37	47	31	31	59	38	38	69	37	37	34	23	23	46	30	30	95	52	52	644	65	65	4176	HGNC:6950	minichromosome maintenance complex component 7	Homo sapiens	7	7q22.1	C9J8M6;H0YH42;NP_001265524.1;NP_005907.3;NP_877577.1;P33993;P33993-2;P33993-3;XP_005250405.1;XP_016867706.1	
MCMBP	10	9	9	16	16	16	19	17	17	18	16	16	14	11	11	13	13	13	17	16	16	17	17	17	19	16	16	25	17	17	22	18	18	24	18	18	214	38	38	79892	HGNC:25782	minichromosome maintenance complex binding protein	Homo sapiens	10	10q26.11	NP_001243307.1;NP_001243308.1;NP_079110.1;Q9BTE3;Q9BTE3-2;Q9BTE3-3;XP_005270214.1;XP_011538472.1;XP_016872152.1;XP_016872153.1	
MCRIP1	7	4	4	6	5	5	5	3	3	8	5	5	8	5	5	8	7	7	7	5	5	7	5	5	9	6	6	9	6	6	7	5	5	6	4	4	87	7	7	348262	HGNC:28007	MAPK regulated corepressor interacting protein 1	Homo sapiens	17	17q25.3	C9JLW8;I3L2L5;I3L317;I3L3A7;I3L4Q0;NP_001087236.1;NP_001275727.1;NP_001275728.1;NP_997251.2;XP_011521873.1;XP_011521874.1	
MCRS1	0	0	0	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	5	4	4	1	1	1	2	2	2	3	2	2	4	4	4	3	3	3	25	8	8	10445	HGNC:6960	microspherule protein 1	Homo sapiens	12	12q13.12	F8VP44;F8VVA6;F8W0I9;F8W126;H0YIA0;NP_001012300.1;NP_001265270.1;NP_006328.2;Q96EZ8;Q96EZ8-2;Q96EZ8-3;Q96EZ8-4;XP_005268629.1;XP_011536062.1;XP_016874178.1;XP_016874179.1	
MCTP2	0	0	0	0	0	0	2	1	1	0	0	0	3	3	3	0	0	0	3	3	3	1	1	1	0	0	0	2	2	2	4	4	4	2	2	2	17	8	8	55784	HGNC:25636	multiple C2 and transmembrane domain containing 2	Homo sapiens	15	15q26.2	F5H415;NP_001153115.1;NP_001153116.1;NP_060819.3;Q6DN12;Q6DN12-2;Q6DN12-3;Q6DN12-4;Q6DN12-6;XP_005255012.1;XP_005255017.1;XP_006720666.1;XP_011520072.1;XP_011520073.1;XP_011520074.1;XP_011520075.1;XP_011520076.1;XP_011520077.1;XP_016877892.1;XP_016877893.1;XP_016877894.1	
MCTS1	34	17	17	25	12	12	41	20	20	29	14	14	27	14	14	27	16	16	29	18	18	29	13	13	34	16	16	34	14	14	28	14	14	44	18	18	381	28	28	28985	HGNC:23357	MCTS1, re-initiation and release factor	Homo sapiens	X	Xq24	NP_001131026.1;NP_054779.1;Q9ULC4;Q9ULC4-2;Q9ULC4-3	
MCU	30	17	17	26	14	14	19	13	13	27	16	15	25	16	16	25	17	17	27	15	15	23	15	15	21	13	12	20	13	13	30	15	14	47	20	20	320	27	26	90550	HGNC:23526	mitochondrial calcium uniporter	Homo sapiens	10	10q22.1	NP_001257608.1;NP_001257609.1;NP_612366.1;Q8NE86;Q8NE86-2;Q8NE86-3;S4R332;S4R468;XP_016872371.1	
MCUB	2	2	2	4	4	4	5	4	4	4	4	4	2	2	2	5	5	5	3	3	3	5	5	5	3	3	3	3	2	2	4	4	4	7	7	7	47	13	13	55013	HGNC:26076	mitochondrial calcium uniporter dominant negative beta subunit	Homo sapiens	4	4q25	NP_060388.2;Q9NWR8;XP_006714309.1	
MCUR1	5	4	4	6	6	6	4	4	4	6	6	6	8	8	8	8	7	7	8	7	7	7	5	5	7	6	6	7	7	7	12	9	9	16	15	15	94	18	18	63933	HGNC:21097	mitochondrial calcium uniporter regulator 1	Homo sapiens	6	6p23	NP_001026883.1;Q96AQ8;Q96AQ8-2;U3KQP8;XP_011513104.1	
MDC1	10	9	9	12	10	10	25	22	22	30	25	25	29	26	26	36	28	28	25	23	23	26	22	22	23	22	22	23	22	22	24	22	22	44	37	37	307	62	62	9656	HGNC:21163	mediator of DNA damage checkpoint 1	Homo sapiens	6	6p21.33	A0A087X0R2;A2AB05;A2AB06;A2AB07;H0Y6Z8;NP_055456.2;Q14676;Q14676-2;Q14676-3;Q14676-4;XP_005249549.1;XP_005249550.1;XP_005249551.1;XP_005249554.1;XP_005249555.1;XP_011513303.1;XP_011513305.1;XP_011513306.1;XP_016867008.1;XP_016867009.1;XP_016867010.1;XP_016867011.1	
MDH1	127	43	43	100	43	43	190	63	63	150	54	54	155	49	49	149	47	47	164	50	50	168	54	54	172	39	39	172	49	49	129	42	42	178	51	51	1854	90	90	4190	HGNC:6970	malate dehydrogenase 1	Homo sapiens	2	2p15	B8ZZ51;B9A041;C9IZI0;C9JF79;C9JLV6;C9JRL4;F8WFC2;NP_001186040.1;NP_001186041.1;NP_001303303.1;NP_005908.1;P40925;P40925-2;P40925-3	CPTAC-236;CPTAC-237
MDH2	318	81	81	297	68	68	282	76	76	381	69	69	325	84	84	238	66	66	287	66	66	262	65	65	320	71	71	279	66	66	264	61	61	353	86	86	3606	132	132	4191	HGNC:6971	malate dehydrogenase 2	Homo sapiens	7	7q11.23	G3XAL0;NP_001269332.1;NP_001269333.1;NP_005909.2;P40926;P40926-2	CPTAC-542;CPTAC-543
MDK	38	12	12	43	10	10	17	7	7	47	12	12	31	13	13	30	13	12	30	11	11	22	12	12	16	11	11	34	14	13	35	15	14	28	16	16	371	25	24	4192	HGNC:6972	midkine (neurite growth-promoting factor 2)	Homo sapiens	11	11p11.2	C9JHA4;E9PLM6;E9PPJ5;NP_001012333.1;NP_001012334.1;NP_001257479.1;NP_001257480.1;NP_001257481.1;NP_002382.1;P21741;P21741-2;XP_011518418.1;XP_016873253.1	
